TOUCHPOINT,MONTH,SITE,IMPRESSIONS,AGE_MIN,AGE_DIFF,SEX,INCOME,UNWEIGHTED_REACH,COMPOSITION
IVIDEO,2017-02-01,IMHO,2916843,25,29,W,0,228,0.534
IVIDEO,2016-06-01,GPMD,1070478,18,32,M,1,142,0.672
IVIDEO,2017-05-01,GPMD,1700461,18,6,M,0,92,0.57
IVIDEO,2017-04-01,IMHO,1463719,20,34,W,1,90,0.493
IVIDEO,2016-06-01,IMHO,1399789,20,14,W,0,58,0.355
IVIDEO,2016-10-01,IMHO,1701694,25,29,W,0,164,0.577
DISPLAY,2016-02-01,MAILPOST,26547248,20,14,W,0,940,0.794
IVIDEO,2016-05-01,GPMD,765613,20,14,W,0,56,0.413
IVIDEO,2016-01-01,YOUTUBE,1516444,25,19,W,1,129,0.46
DISPLAY,2016-07-01,VK,4049896,20,14,W,0,163,0.71
IVIDEO,2017-04-01,IMHO,894599,20,34,W,1,60,0.464
DISPLAY,2016-08-01,OK,18848304,20,15,W,1,307,0.585
IVIDEO,2017-05-01,GPMD,2092964,25,19,W,0,283,0.788
IVIDEO,2017-10-01,GPMD,1538370,16,19,W,0,122,0.669
IVIDEO,2017-07-01,IMHO,2659192,16,19,W,0,98,0.367
DISPLAY,2017-07-01,OK,10075217,16,28,W,1,280,0.618
IVIDEO,2016-09-01,YOUTUBE,2386013,18,32,M,1,154,0.577
IVIDEO,2016-09-01,GPMD,6739952,20,14,W,0,310,0.38
IVIDEO,2017-09-01,IMHO,2988422,25,19,W,1,194,0.321
DISPLAY,2016-04-01,OK,19901121,18,26,P,1,672,0.793
DISPLAY,2016-04-01,MAILPOST,32488948,16,19,W,0,986,0.784
IVIDEO,2016-06-01,GPMD,2108501,16,19,M,1,227,0.696
DISPLAY,2016-04-01,YOUTUBE,1790187,18,26,P,1,127,0.725
DISPLAY,2017-01-01,MAILPOST,5242141,18,32,M,0,1094,0.823
DISPLAY,2016-05-01,OK,10583317,25,20,W,0,481,0.642
IVIDEO,2017-03-01,STS,567971,20,14,W,0,40,0.828
IVIDEO,2016-09-01,GPMD,2572674,16,19,W,0,196,0.793
IVIDEO,2017-01-01,IMHO,1136770,25,19,W,0,76,0.468
IVIDEO,2016-03-01,GPMD,736622,18,32,M,1,66,0.668
IVIDEO,2016-12-01,STS,461421,25,19,W,1,44,0.673
DISPLAY,2018-02-01,VK,2581248,18,26,M,0,171,0.725
IVIDEO,2016-12-01,STS,577965,25,29,W,0,91,0.803
DISPLAY,2018-01-01,VK,574500,20,14,W,0,47,0.892
DISPLAY,2018-01-01,OK,5116957,16,28,W,1,184,0.538
DISPLAY,2018-01-01,VK,7215409,16,28,W,1,251,0.586
IVIDEO,2018-02-01,GPMD,3427431,20,14,W,0,64,0.13
IVIDEO,2017-05-01,GPMD,4595983,16,19,M,1,243,0.589
IVIDEO,2017-10-01,IMHO,1429346,25,19,W,0,83,0.238
IVIDEO,2016-09-01,GPMD,4129560,14,12,W,0,212,0.512
DISPLAY,2016-10-01,MAILMAIN,623703,20,14,W,0,85,0.802
IVIDEO,2017-04-01,IMHO,1719241,20,14,W,0,77,0.468
IVIDEO,2016-09-01,IMHO,985705,25,19,W,0,100,0.412
DISPLAY,2016-01-01,MAILMAIN,2142575,25,15,W,1,295,0.666
IVIDEO,2016-05-01,GPMD,1053840,25,39,W,0,126,0.836
DISPLAY,2016-05-01,VK,2674598,16,24,W,0,157,0.761
DISPLAY,2016-09-01,VK,3669436,13,11,M,1,51,0.457
DISPLAY,2016-03-01,MAILDETI,2871413,20,24,W,0,312,0.833
IVIDEO,2016-04-01,IMHO,1010299,20,14,W,0,54,0.378
DISPLAY,2016-02-01,VK,1589977,25,20,W,0,151,0.76
DISPLAY,2016-02-01,OK,7903742,25,20,W,0,336,0.637
DISPLAY,2016-09-01,OK,31786464,25,20,W,0,656,0.688
DISPLAY,2016-09-01,MAILMAIN,2810650,16,24,W,1,177,0.543
IVIDEO,2016-12-01,GPMD,1355308,20,14,W,0,105,0.495
IVIDEO,2016-03-01,GPMD,1502453,25,19,W,1,158,0.536
IVIDEO,2017-04-01,STS,1005700,20,34,W,1,41,0.318
IVIDEO,2016-04-01,IMHO,1821298,18,26,P,1,70,0.489
IVIDEO,2016-10-01,GPMD,1215445,20,34,W,1,142,0.671
IVIDEO,2017-10-01,IMHO,2076161,25,39,W,1,139,0.657
IVIDEO,2018-01-01,IMHO,9989118,16,8,W,0,74,0.168
DISPLAY,2017-11-01,MAILPOST,7481440,18,17,W,1,432,0.678
DISPLAY,2016-02-01,OK,25861719,25,19,W,1,481,0.53
IVIDEO,2017-08-01,GPMD,8088949,20,14,W,0,58,0.144
IVIDEO,2016-04-01,IMHO,2680490,25,19,W,1,150,0.393
IVIDEO,2017-06-01,GPMD,2888012,16,19,W,0,270,0.761
DISPLAY,2016-07-01,MAILPOST,13844735,20,14,W,0,610,0.79
IVIDEO,2017-04-01,GPMD,958456,18,6,M,0,72,0.684
IVIDEO,2016-08-01,GPMD,348407,25,19,W,0,43,0.758
IVIDEO,2017-08-01,OK,3554893,20,14,W,0,84,0.688
DISPLAY,2017-02-01,RAMBLER,4166418,18,32,M,1,131,0.526
IVIDEO,2016-09-01,GPMD,700891,25,19,W,0,126,0.806
IVIDEO,2017-08-01,IMHO,2189027,16,19,W,0,142,0.596
IVIDEO,2017-08-01,IMHO,1895384,25,19,W,1,163,0.448
IVIDEO,2017-10-01,OKVK,1124933,20,14,W,0,86,0.699
IVIDEO,2017-01-01,IMHO,1761815,16,19,W,0,163,0.686
IVIDEO,2016-02-01,GPMD,389446,25,19,W,1,53,0.726
IVIDEO,2016-04-01,GPMD,1860155,25,19,W,1,210,0.484
DISPLAY,2016-02-01,OK,15905050,18,26,P,1,624,0.796
DISPLAY,2016-09-01,MAILHEALTH,2681618,25,20,W,1,242,0.738
DISPLAY,2017-01-01,RAMBLER,4184976,18,32,M,1,105,0.582
IVIDEO,2016-12-01,IMHO,5088411,25,19,P,1,43,0.407
DISPLAY,2016-03-01,MAILLADY,5693076,25,20,W,1,384,0.767
DISPLAY,2016-06-01,MAILPOST,32118636,25,25,M,1,1056,0.75
DISPLAY,2016-12-01,RAMBLER,1378892,18,26,P,1,83,0.593
DISPLAY,2016-09-01,OK_PROMOPOST,1669840,20,14,W,0,124,0.764
DISPLAY,2016-02-01,YOUTUBE,15309290,18,26,P,1,499,0.602
DISPLAY,2017-11-01,MAILPOST,6832627,18,46,P,0,670,1.0
IVIDEO,2017-03-01,IMHO,1069061,20,34,W,1,60,0.275
IVIDEO,2016-12-01,GPMD,1785630,20,14,W,0,93,0.275
IVIDEO,2017-07-01,GPMD,1209126,25,19,W,0,115,0.733
IVIDEO,2017-07-01,IMHO,1232912,25,19,W,0,97,0.576
IVIDEO,2016-12-01,STS,428441,25,19,W,1,60,0.654
DISPLAY,2016-01-01,MAILLADY,1160947,18,26,P,1,148,0.785
IVIDEO,2016-03-01,YOUTUBE,1244718,16,19,W,0,54,0.627
IVIDEO,2016-09-01,GPMD,1273926,18,32,M,1,145,0.677
IVIDEO,2016-02-01,GPMD,1727725,20,14,W,0,110,0.498
IVIDEO,2017-04-01,STS,506468,20,14,W,0,46,0.437
DISPLAY,2016-04-01,MAILPOST,34335367,18,17,P,1,1339,0.809
DISPLAY,2016-04-01,MAILMAIN,8545812,20,14,W,0,690,0.769
DISPLAY,2016-08-01,VK,3737416,16,24,W,0,168,0.785
IVIDEO,2016-08-01,STS,412480,16,19,W,0,42,0.773
IVIDEO,2016-04-01,GPMD,1601992,18,26,P,1,97,0.46
IVIDEO,2017-04-01,IMHO,3051433,18,26,W,1,157,0.481
IVIDEO,2017-05-01,IMHO,739990,20,34,W,1,49,0.558
DISPLAY,2016-12-01,BABYBLOG,2024252,12,52,P,0,86,1.0
DISPLAY,2016-09-01,BABYBLOG,459187,20,20,W,0,48,0.865
IVIDEO,2016-10-01,GPMD,1358129,25,29,W,0,148,0.622
IVIDEO,2016-02-01,YOUTUBE,656314,20,20,W,1,57,0.517
IVIDEO,2017-03-01,GPMD,4285739,25,19,P,1,170,0.331
IVIDEO,2016-10-01,IMHO,3510036,25,19,W,1,148,0.312
IVIDEO,2016-04-01,GPMD,1031285,25,39,W,0,124,0.796
DISPLAY,2016-09-01,VK,2114169,25,20,W,0,94,0.787
DISPLAY,2016-09-01,VK,3619508,20,14,W,0,181,0.762
IVIDEO,2017-12-01,IMHO,5479544,18,32,M,1,244,0.458
IVIDEO,2017-12-01,STS,1306538,18,32,M,1,58,0.372
DISPLAY,2017-06-01,MAILPOST,20158878,16,19,W,0,720,0.755
IVIDEO,2017-10-01,GPMD,872170,16,28,W,1,72,0.618
IVIDEO,2017-11-01,IMHO,2115968,25,19,W,1,140,0.315
IVIDEO,2017-08-01,GPMD,610021,25,39,W,1,78,0.604
IVIDEO,2017-08-01,GPMD,1815222,20,14,W,0,41,0.247
IVIDEO,2016-09-01,YOUTUBE,2378568,20,14,W,0,79,0.417
IVIDEO,2016-03-01,GPMD,1574531,25,19,W,1,157,0.477
DISPLAY,2016-06-01,MAILLADY,10736932,25,20,W,0,872,0.799
DISPLAY,2017-02-01,VK,4991879,16,18,W,0,136,0.805
IVIDEO,2017-06-01,IMHO,2309300,16,24,M,0,103,0.429
IVIDEO,2017-02-01,GPMD,4052374,25,19,W,1,414,0.566
IVIDEO,2017-04-01,GPMD,2132423,25,29,W,1,115,0.441
IVIDEO,2017-04-01,GPMD,4612329,18,32,M,1,272,0.519
IVIDEO,2016-05-01,GPMD,1005389,16,19,W,0,95,0.67
DISPLAY,2016-09-01,OK,9919347,20,14,W,0,225,0.699
IVIDEO,2017-03-01,GPMD,7235629,18,26,W,1,434,0.569
DISPLAY,2017-01-01,OK,2587956,18,32,M,0,188,0.719
DISPLAY,2016-09-01,GDN,62057032,20,20,W,0,786,0.563
DISPLAY,2016-05-01,OK,14459895,25,20,W,0,735,0.724
DISPLAY,2016-10-01,MAILMAIN,2389052,16,24,W,1,184,0.66
IVIDEO,2017-10-01,IMHO,5332545,20,14,W,0,139,0.176
IVIDEO,2017-03-01,IMHO,1566992,25,29,W,0,118,0.564
IVIDEO,2016-03-01,GPMD,1947463,25,19,W,1,229,0.428
DISPLAY,2017-03-01,OK_PROMOPOST,5199833,18,32,M,0,137,0.837
DISPLAY,2017-03-01,MATCHTV,1821726,18,32,M,1,65,0.462
IVIDEO,2016-06-01,YOUTUBE,4546235,16,19,W,0,251,0.628
DISPLAY,2016-03-01,OK,26872861,25,20,W,1,565,0.576
DISPLAY,2016-03-01,MAILMAIN,5126863,20,20,W,1,576,0.721
DISPLAY,2016-08-01,MAILHEALTH,2211500,25,20,W,1,231,0.763
IVIDEO,2017-10-01,IMHO,2964626,20,14,W,0,66,0.204
IVIDEO,2016-06-01,GPMD,1153889,20,20,W,1,113,0.513
IVIDEO,2017-10-01,IMHO,2203997,25,19,W,1,133,0.302
DISPLAY,2017-08-01,OK,12279050,16,28,W,1,283,0.621
DISPLAY,2017-06-01,VK,2403455,25,19,W,0,199,0.676
IVIDEO,2016-10-01,GPMD,2499002,18,32,M,1,162,0.666
IVIDEO,2016-03-01,GPMD,1454076,25,19,W,1,150,0.491
IVIDEO,2016-08-01,GPMD,1321405,20,34,W,1,128,0.665
IVIDEO,2016-04-01,GPMD,1770132,25,19,W,1,194,0.604
IVIDEO,2016-02-01,IMHO,1261284,20,14,W,0,92,0.469
IVIDEO,2017-05-01,IMHO,726713,25,29,W,0,51,0.572
IVIDEO,2017-02-01,GPMD,1237530,20,34,W,1,102,0.69
DISPLAY,2016-08-01,OK,9498854,20,15,W,1,231,0.582
DISPLAY,2016-10-01,VK,4566653,16,8,M,1,118,0.57
IVIDEO,2016-07-01,GPMD,1456319,16,19,W,0,106,0.581
DISPLAY,2016-11-01,MAILPOST,25684967,18,26,P,1,1421,0.812
DISPLAY,2016-10-01,BABYBLOG,21340044,20,14,W,0,128,0.579
IVIDEO,2017-01-01,STS,315030,25,29,W,0,43,0.586
DISPLAY,2016-06-01,OK,12417300,25,20,W,0,461,0.685
IVIDEO,2017-10-01,STS,44769,18,32,M,1,65,0.327
IVIDEO,2017-02-01,GPMD,1138070,25,29,W,0,119,0.641
DISPLAY,2016-06-01,VK,1007528,18,27,W,0,102,0.673
DISPLAY,2017-09-01,OK,1142058,12,52,P,0,123,1.0
IVIDEO,2017-01-01,IMHO,704941,18,32,M,1,97,0.619
IVIDEO,2018-02-01,IMHO,2301361,25,39,W,1,158,0.552
DISPLAY,2017-12-01,MAILPOST,5828877,18,17,W,1,350,0.629
DISPLAY,2018-02-01,VK,7063191,16,28,W,1,291,0.58
IVIDEO,2016-09-01,YOUTUBE,584563,25,39,W,0,60,0.632
DISPLAY,2016-08-01,MAILPOST,15256351,20,14,W,0,593,0.823
DISPLAY,2016-08-01,OK,11522624,20,14,W,0,252,0.702
IVIDEO,2017-06-01,GPMD,1523095,18,26,M,1,154,0.654
DISPLAY,2016-05-01,VK,7877353,16,18,M,1,247,0.654
IVIDEO,2016-03-01,IMHO,1126233,25,19,W,1,118,0.582
DISPLAY,2017-08-01,VK,5411200,16,28,W,1,218,0.625
DISPLAY,2016-01-01,MAILPOST,15424390,16,19,W,0,810,0.798
IVIDEO,2016-07-01,IMHO,4223201,16,24,M,0,223,0.547
IVIDEO,2016-09-01,IMHO,1253061,20,34,W,1,80,0.519
DISPLAY,2016-09-01,MAILPOST,15762708,20,14,W,0,587,0.783
DISPLAY,2016-06-01,MAILPOST,7923953,18,6,M,0,152,0.628
IVIDEO,2016-12-01,GPMD,1032859,18,32,M,1,89,0.537
DISPLAY,2017-02-01,MAILPOST,44856522,18,32,M,1,1304,0.716
DISPLAY,2016-02-01,MAILLADY,3799580,25,15,W,1,311,0.753
IVIDEO,2016-07-01,STS,638352,20,20,W,0,72,0.712
IVIDEO,2017-03-01,STS,325039,20,34,W,1,42,0.587
IVIDEO,2017-06-01,GPMD,2071734,25,19,P,1,232,0.763
DISPLAY,2017-10-01,MAILPOST,10072515,16,28,W,1,502,0.743
DISPLAY,2016-06-01,MAILPOST,12718908,25,29,W,1,919,0.776
IVIDEO,2016-09-01,GPMD,272610,25,29,W,0,59,0.806
DISPLAY,2017-11-01,MAILPOST,4600388,20,14,W,0,164,0.841
DISPLAY,2017-12-01,MAILPOST,13980807,16,28,W,1,577,0.738
IVIDEO,2018-02-01,IMHO,5473639,20,44,W,0,186,0.621
DISPLAY,2017-10-01,MAILPOST,10827379,16,19,W,0,454,0.765
IVIDEO,2016-04-01,IMHO,1979993,16,19,W,0,125,0.505
DISPLAY,2016-12-01,BABYBLOG,1547517,12,52,P,0,68,1.0
IVIDEO,2017-06-01,IMHO,2620386,18,26,M,1,145,0.337
IVIDEO,2016-10-01,GPMD,857547,25,29,W,0,47,0.714
DISPLAY,2016-09-01,VK,1363674,18,32,M,0,141,0.805
DISPLAY,2016-02-01,AFISHA,1178258,18,37,P,1,112,0.725
DISPLAY,2017-01-01,BABYBLOG,2223738,12,52,P,0,111,1.0
IVIDEO,2017-09-01,GPMD,3471472,25,19,W,1,170,0.462
DISPLAY,2017-09-01,OK,694685,12,52,P,0,83,1.0
IVIDEO,2017-03-01,IMHO,1516832,20,34,W,1,83,0.383
IVIDEO,2017-04-01,IMHO,2713484,25,29,W,1,152,0.418
DISPLAY,2016-08-01,MAILPOST,20044243,20,15,W,1,673,0.739
IVIDEO,2017-05-01,GPMD,7838094,16,19,W,0,563,0.743
IVIDEO,2016-07-01,GPMD,1413807,20,20,W,0,101,0.512
DISPLAY,2017-08-01,MAILAFISHA,2046993,16,28,W,1,168,0.656
DISPLAY,2016-06-01,VK,7511176,25,39,M,1,485,0.757
DISPLAY,2016-03-01,MAILPOST,19091299,20,20,W,1,828,0.752
IVIDEO,2016-11-01,GPMD,2549184,16,8,M,1,121,0.484
DISPLAY,2016-09-01,OK,13809076,16,24,W,1,181,0.496
DISPLAY,2017-09-01,MAILPOST,16042604,16,28,W,1,696,0.746
DISPLAY,2016-06-01,VK,5015923,16,19,W,0,197,0.737
IVIDEO,2016-01-01,YOUTUBE,2292057,25,29,W,0,204,0.71
IVIDEO,2017-01-01,GPMD,6057665,20,14,W,0,382,0.671
IVIDEO,2017-04-01,GPMD,1497750,16,19,W,0,148,0.751
DISPLAY,2017-09-01,MAILAUDIO,1012512,20,14,W,0,55,0.899
DISPLAY,2018-02-01,MAILAUDIO,1425295,20,24,P,0,51,0.928
DISPLAY,2017-08-01,OK,437368,25,24,W,1,40,0.756
DISPLAY,2016-07-01,MAILMAIN,1943286,25,25,M,1,258,0.752
IVIDEO,2017-08-01,IMHO,3468911,18,32,M,1,271,0.535
IVIDEO,2017-10-01,IMHO,3225150,25,19,W,1,111,0.255
IVIDEO,2016-07-01,YOUTUBE,1165089,16,19,W,0,79,0.593
IVIDEO,2016-12-01,STS,1604808,25,19,P,1,58,0.383
IVIDEO,2017-02-01,IMHO,3501353,16,19,W,0,187,0.564
DISPLAY,2016-08-01,MAILPOST,16298126,16,24,W,1,600,0.619
DISPLAY,2016-09-01,MAILMAIN,2383758,20,14,W,0,222,0.763
DISPLAY,2016-10-01,BABY,3649024,20,14,W,0,117,0.519
IVIDEO,2016-04-01,GPMD,1697499,25,19,W,1,167,0.538
IVIDEO,2016-04-01,IMHO,1629309,25,19,W,1,122,0.463
DISPLAY,2016-06-01,OK,12901420,24,25,W,0,448,0.694
IVIDEO,2018-01-01,IMHO,2873640,25,19,P,1,81,0.434
DISPLAY,2016-05-01,OK,12916804,24,25,W,0,432,0.667
DISPLAY,2016-03-01,MAILPOST,21962797,16,19,W,0,884,0.797
IVIDEO,2016-10-01,GPMD,2220439,16,8,M,1,110,0.433
DISPLAY,2016-10-01,MAILMAIN,3998592,20,24,W,1,262,0.761
